Designator,Mid X,Mid Y,Layer,Rotation
A1,58.52,87.83,Top,270.0
BOST, 8.89,81.48,Top,90.0
C1,90.98,101.24,Top,0.0
C2,53.04,21.08,Top,0.0
C5,26.97,25.50,Top,90.0
C6,79.35,41.00,Top,180.0
C7,87.38,103.73,Top,180.0
C8,71.98,61.37,Top,0.0
C9,80.01,93.73,Top,270.0
C10,91.69,93.01,Top,90.0
C11,74.88,86.36,Top,90.0
C12,63.20,86.36,Top,270.0
C13,84.02,81.48,Top,90.0
C14,79.20,81.48,Top,270.0
C15,74.07,77.52,Top,180.0
C16,26.37,69.14,Top,180.0
C17,76.20,61.42,Top,180.0
C18,72.59,103.12,Top,180.0
C19,11.89,102.77,Top,180.0
C20,15.29,100.43,Top,180.0
C21,34.49,25.50,Top,90.0
C22,53.64,81.64,Top,0.0
C23,80.57,28.75,Top,0.0
C24,67.51,28.70,Top,180.0
C25,69.90,25.15,Top,180.0
C26,78.33,25.10,Top,180.0
C27,36.73,80.06,Top,0.0
C28,59.59,98.86,Top,0.0
C29,30.48,93.32,Top,270.0
C30,19.56,25.55,Top,90.0
C31,30.53,89.87,Top,90.0
C32,34.34,87.38,Top,180.0
C33,11.58,25.55,Top,90.0
C34,30.94,84.94,Top,180.0
C35,34.34,102.77,Top,0.0
C36,91.54,77.93,Top,180.0
C37,89.51,37.44,Top,180.0
C38,34.34,100.74,Top,0.0
C39,35.97,104.80,Top,0.0
C40,30.43,98.35,Top,0.0
C43,30.43,96.27,Top,0.0
C44,60.10,84.07,Top,270.0
C46, 8.38,48.77,Top,0.0
C47,23.93,52.83,Top,270.0
C48,85.60,77.01,Top,270.0
C49,94.74,90.98,Top,90.0
C50,63.30,89.71,Top,0.0
C78,56.29,62.64,Top,0.0
C79,60.96,57.96,Top,0.0
C80,45.01,60.25,Top,180.0
C81,49.48,47.75,Top,270.0
C82,60.96,50.90,Top,180.0
C83,44.96,50.85,Top,0.0
D1,86.26,101.14,Top,0.0
D2,86.26,98.76,Top,180.0
D3,79.81,102.01,Top,180.0
D4,55.32,31.19,Top,0.0
D5,87.22,94.18,Top,270.0
D6,89.41,94.18,Top,90.0
D7,65.43,85.29,Top,90.0
D8,67.67,85.29,Top,270.0
D9,81.64,86.36,Top,270.0
D10,79.10,86.36,Top,90.0
D11,18.44,102.97,Top,270.0
D12,20.73,102.97,Top,90.0
D13,50.09,31.19,Top,180.0
D15,90.68,45.82,Top,0.0
D17,85.34,23.01,Top,270.0
D18,61.21,33.58,Top,90.0
D19,61.21,41.15,Top,90.0
FL1,62.23,26.87,Top,0.0
HC1, 8.94,77.98,Top,90.0
HC2, 8.89,83.26,Top,90.0
IC1,15.24,54.61,Top,0.0
IC2,30.89,54.86,Top,0.0
IC3,91.08,85.85,Top,270.0
IC5,37.03,76.40,Top,180.0
IC6,88.44,64.82,Top,0.0
IC7,52.88,55.52,Top,270.0
IC8,74.07,46.02,Top,180.0
IDLE, 8.89,79.71,Top,90.0
IGN1, 8.99,97.79,Top,90.0
IGN2, 8.99,96.11,Top,90.0
IGN3, 8.99,94.39,Top,90.0
IGN4, 8.99,92.66,Top,90.0
IGN5, 8.99,90.93,Top,90.0
IGN6, 8.99,89.26,Top,90.0
IGN7, 8.99,87.53,Top,90.0
IGN8, 8.99,85.85,Top,90.0
INJ1, 8.94,63.30,Top,90.0
INJ2, 8.94,65.33,Top,90.0
INJ3, 8.94,67.16,Top,90.0
INJ4, 8.94,68.94,Top,90.0
INJ5, 8.94,70.71,Top,90.0
INJ6, 8.94,72.49,Top,90.0
INJ7, 8.94,74.32,Top,90.0
INJ8, 8.94,76.15,Top,90.0
L2,74.22,68.53,Top,90.0
L4,90.07,52.53,Top,0.0
L5,86.82,29.67,Top,180.0
LED6,80.26,37.69,Top,270.0
LED7,67.77,37.69,Top,90.0
LED10,43.64,24.28,Top,0.0
LED11,47.50,24.23,Top,0.0
LED19, 3.30,51.41,Top,270.0
LED20, 3.30,53.34,Top,270.0
LED27,53.14,107.70,Top,0.0
LED28,51.46,107.70,Top,0.0
LED29,49.78,107.70,Top,0.0
Q1,19.76,39.37,Top,180.0
Q2,41.20,39.37,Top,180.0
Q3, 5.49,39.37,Top,180.0
Q4,26.92,39.37,Top,180.0
Q5,34.04,39.37,Top,180.0
Q6,48.67,35.00,Top,270.0
Q7,12.60,39.37,Top,180.0
Q8,55.42,35.05,Top,270.0
R1,59.69,91.54,Top,0.0
R2,56.95,83.52,Top,0.0
R4,28.85,20.52,Top,270.0
R5,43.69,20.47,Top,90.0
R6,31.39,20.52,Top,270.0
R8,47.50,20.47,Top,90.0
R10,36.37,20.52,Top,270.0
R11, 3.05,55.52,Top,0.0
R12,38.91,20.52,Top,270.0
R17,32.72,107.59,Top,180.0
R18,56.24,107.44,Top,0.0
R19,61.42,23.62,Top,180.0
R20,22.05,107.54,Top,180.0
R21,90.98,98.76,Top,180.0
R22,56.95,21.08,Top,0.0
R24,34.34,84.94,Top,180.0
R25,49.53,112.47,Top,270.0
R26,43.33,107.65,Top,180.0
R27,66.09,103.12,Top,180.0
R28,72.85,25.65,Top,270.0
R29,78.23,21.64,Top,180.0
R32,69.90,21.54,Top,180.0
R35,13.77,20.52,Top,270.0
R36,16.36,20.52,Top,270.0
R38,53.49,112.47,Top,270.0
R39,51.51,112.47,Top,270.0
R40,82.50,93.73,Top,270.0
R41,84.94,95.45,Top,90.0
R42,70.05,86.36,Top,90.0
R43,72.44,86.36,Top,90.0
R44,81.64,81.48,Top,90.0
R46,15.29,102.77,Top,0.0
R47,15.29,105.05,Top,180.0
R48,11.89,105.05,Top,180.0
R49,62.64,103.12,Top,180.0
R50,49.07,38.66,Top,0.0
R52,80.57,31.09,Top,0.0
R53,80.57,33.32,Top,180.0
R54,67.51,33.32,Top,180.0
R55,67.51,31.04,Top,180.0
R57,66.90,25.65,Top,270.0
R59,75.29,25.65,Top,270.0
R60,81.23,25.60,Top,270.0
R61,46.08,39.17,Top,90.0
R64,80.57,35.61,Top,0.0
R65,67.51,35.61,Top,180.0
R67,21.39,20.52,Top,270.0
R68,23.98,20.52,Top,270.0
R70,64.21,35.46,Top,90.0
R71,56.49,38.66,Top,0.0
R74,52.73,38.66,Top,180.0
R76,40.84,78.18,Top,90.0
R77,44.25,79.96,Top,180.0
R80, 3.05,49.12,Top,0.0
R150,46.28,62.64,Top,180.0
R151,49.68,62.64,Top,180.0
R152,60.96,55.63,Top,180.0
R153,45.01,57.91,Top,0.0
R154,53.04,62.64,Top,180.0
R155,59.69,62.69,Top,180.0
R156,60.96,60.30,Top,180.0
R157,45.01,55.58,Top,180.0
R158,51.61,47.75,Top,270.0
R159,60.96,53.24,Top,0.0
R160,44.96,53.24,Top,0.0
R161,53.85,47.75,Top,270.0
RN1, 3.56,66.60,Top,90.0
RN2, 3.56,73.41,Top,270.0
RN3, 3.51,80.52,Top,270.0
RN4,25.35,82.45,Top,0.0
RN5,25.35,86.87,Top,180.0
RN6, 3.51,59.89,Top,270.0
RN7,28.60,62.69,Top,180.0
RN8,33.83,62.69,Top,180.0
RN9,17.73,80.62,Top,90.0
RN10,17.83,66.29,Top,90.0
RN11,17.78,73.36,Top,90.0
RN12,18.24,95.15,Top,90.0
RN13,18.19,88.44,Top,90.0
RN14,13.82,95.15,Top,270.0
RN15,13.77,88.44,Top,270.0
U$3,30.78,26.87,Top,180.0
U$4,38.25,26.92,Top,180.0
U$9,23.32,26.87,Top,180.0
U$10,74.02,33.58,Top,180.0
U$11,15.70,26.87,Top,180.0
U1,55.07,25.81,Top,0.0
U2,27.23,74.47,Top,90.0
U3,46.99,92.71,Top,0.0
U4,69.34,98.70,Top,0.0
U5,78.13,97.84,Top,90.0
Y1,34.09,97.28,Top,270.0
Y3,34.39,91.08,Top,270.0
